Iteration 0, time = 163s, loss_lab = 1.9520, loss_unl = 0.6077, train err = 0.7254, test err = 0.7385
Iteration 1, time = 165s, loss_lab = 1.5804, loss_unl = 0.7371, train err = 0.5827, test err = 0.7043
Iteration 2, time = 165s, loss_lab = 1.3690, loss_unl = 0.7600, train err = 0.4976, test err = 0.6995
Iteration 3, time = 165s, loss_lab = 1.1734, loss_unl = 0.7774, train err = 0.4154, test err = 0.6932
Iteration 4, time = 165s, loss_lab = 0.9951, loss_unl = 0.7963, train err = 0.3442, test err = 0.6785
Iteration 5, time = 165s, loss_lab = 0.8503, loss_unl = 0.8051, train err = 0.2868, test err = 0.6537
Iteration 6, time = 165s, loss_lab = 0.7181, loss_unl = 0.8088, train err = 0.2372, test err = 0.6309
Iteration 7, time = 165s, loss_lab = 0.6083, loss_unl = 0.8060, train err = 0.1962, test err = 0.6049
Iteration 8, time = 165s, loss_lab = 0.5170, loss_unl = 0.8090, train err = 0.1591, test err = 0.5796
Iteration 9, time = 165s, loss_lab = 0.4364, loss_unl = 0.8029, train err = 0.1304, test err = 0.5573
Iteration 10, time = 165s, loss_lab = 0.3784, loss_unl = 0.7956, train err = 0.1058, test err = 0.5389
Iteration 11, time = 164s, loss_lab = 0.3332, loss_unl = 0.7885, train err = 0.0926, test err = 0.5208
Iteration 12, time = 165s, loss_lab = 0.2896, loss_unl = 0.7840, train err = 0.0740, test err = 0.5034
Iteration 13, time = 165s, loss_lab = 0.2645, loss_unl = 0.7772, train err = 0.0663, test err = 0.4890
Iteration 14, time = 165s, loss_lab = 0.2350, loss_unl = 0.7689, train err = 0.0564, test err = 0.4738
Iteration 15, time = 165s, loss_lab = 0.2162, loss_unl = 0.7604, train err = 0.0501, test err = 0.4643
Iteration 16, time = 165s, loss_lab = 0.1992, loss_unl = 0.7562, train err = 0.0449, test err = 0.4539
Iteration 17, time = 165s, loss_lab = 0.1875, loss_unl = 0.7497, train err = 0.0406, test err = 0.4452
Iteration 18, time = 165s, loss_lab = 0.1748, loss_unl = 0.7440, train err = 0.0380, test err = 0.4349
Iteration 19, time = 165s, loss_lab = 0.1658, loss_unl = 0.7388, train err = 0.0354, test err = 0.4279
Iteration 20, time = 165s, loss_lab = 0.1585, loss_unl = 0.7309, train err = 0.0335, test err = 0.4237
Iteration 21, time = 165s, loss_lab = 0.1471, loss_unl = 0.7348, train err = 0.0294, test err = 0.4158
Iteration 22, time = 165s, loss_lab = 0.1380, loss_unl = 0.7238, train err = 0.0271, test err = 0.4097
Iteration 23, time = 165s, loss_lab = 0.1318, loss_unl = 0.7128, train err = 0.0253, test err = 0.4049
Iteration 24, time = 165s, loss_lab = 0.1299, loss_unl = 0.7135, train err = 0.0260, test err = 0.3972
Iteration 25, time = 164s, loss_lab = 0.1224, loss_unl = 0.7103, train err = 0.0225, test err = 0.3931
Iteration 26, time = 165s, loss_lab = 0.1155, loss_unl = 0.6993, train err = 0.0208, test err = 0.3868
Iteration 27, time = 165s, loss_lab = 0.1128, loss_unl = 0.6953, train err = 0.0210, test err = 0.3812
Iteration 28, time = 165s, loss_lab = 0.1100, loss_unl = 0.6936, train err = 0.0196, test err = 0.3766
Iteration 29, time = 165s, loss_lab = 0.1051, loss_unl = 0.6859, train err = 0.0193, test err = 0.3728
Iteration 30, time = 165s, loss_lab = 0.1040, loss_unl = 0.6793, train err = 0.0191, test err = 0.3695
Iteration 31, time = 165s, loss_lab = 0.0988, loss_unl = 0.6785, train err = 0.0173, test err = 0.3669
Iteration 32, time = 165s, loss_lab = 0.0971, loss_unl = 0.6787, train err = 0.0169, test err = 0.3646
Iteration 33, time = 165s, loss_lab = 0.0936, loss_unl = 0.6763, train err = 0.0158, test err = 0.3644
Iteration 34, time = 165s, loss_lab = 0.0909, loss_unl = 0.6730, train err = 0.0153, test err = 0.3638
